palabra,sentimiento,emocion
detrás,neutro,neutro
ábaco,neutro,confianza
abandonar,negativo,miedo
abandonado,negativo,enfado
abandono,negativo,enfado
disminuir,neutro,neutro
disminución,neutro,neutro
abba,positivo,neutro
abad,neutro,confianza
abreviar,neutro,neutro
abreviatura,neutro,neutro
abdomen,neutro,neutro
abdominal,neutro,neutro
secuestro,negativo,miedo
aberrante,negativo,neutro
aberración,negativo,disgusto
suspensión,neutro,neutro
aborrecer,negativo,enfado
aborrecible,negativo,enfado
cumplir,neutro,neutro
capacidad,positivo,neutro
abyecto,negativo,disgusto
ablación,neutro,neutro
ardiendo,neutro,neutro
anormal,negativo,disgusto
a bordo,neutro,neutro
morada,neutro,neutro
abolir,negativo,enfado
abolición,negativo,neutro
abominable,negativo,disgusto
abominación,negativo,enfado
aborigen,neutro,neutro
abortar,negativo,neutro
aborto,negativo,disgusto
abortivo,negativo,tristeza
abundar,neutro,neutro
anteriormente mencionado,positivo,neutro
abrasión,negativo,neutro
extranjero,neutro,neutro
abrogar,negativo,neutro
abrupto,neutro,sorpresa
abruptamente,neutro,neutro
absceso,negativo,tristeza
ausencia,negativo,miedo
ausente,negativo,tristeza
ausente,negativo,tristeza
absentismo,negativo,neutro
Ajenjo,neutro,neutro
absoluto,positivo,neutro
absolución,positivo,alegria
absorbido,positivo,neutro
absorbente,neutro,neutro
absorbente,neutro,neutro
absorción,neutro,neutro
abstenerse,neutro,neutro
abstención,neutro,neutro
abstinencia,neutro,neutro
resumen,neutro,neutro
abstracción,neutro,neutro
absurdo,negativo,neutro
absurdo,negativo,neutro
abundancia,negativo,anticipacion
abundante,positivo,alegria
abuso,negativo,enfado
contrafuerte,neutro,neutro
aby,neutro,neutro
abismal,negativo,tristeza
abismo,negativo,miedo
académico,positivo,confianza
academia,positivo,neutro
acceder a,neutro,neutro
acelerar,neutro,anticipacion
aceleración,neutro,neutro
acento,neutro,neutro
acentuar,neutro,neutro
aceptar,neutro,neutro
aceptable,positivo,neutro
aceptación,positivo,neutro
acceso,neutro,neutro
accesible,positivo,neutro
adhesión,neutro,neutro
accesorio,neutro,neutro
accidente,negativo,miedo
accidental,negativo,miedo
accidentalmente,neutro,sorpresa
espaldarazo,positivo,anticipacion
acomodar,neutro,neutro
alojamiento,positivo,neutro
acompañamiento,positivo,anticipacion
acompañar,neutro,neutro
acompañamiento,neutro,neutro
cómplice,neutro,neutro
realizar,positivo,alegria
logrado,positivo,alegria
logro,positivo,neutro
acuerdo,positivo,confianza
conformidad,neutro,neutro
acordeón,neutro,neutro
cuenta,neutro,confianza
responsabilidad,positivo,confianza
responsable,positivo,confianza
contador,neutro,confianza
contabilidad,neutro,neutro
cuentas,neutro,confianza
autorizado,positivo,confianza
acreción,neutro,neutro
acumularse,neutro,neutro
accueil,positivo,neutro
acumular,neutro,neutro
acumulación,neutro,neutro
precisión,neutro,neutro
preciso,positivo,confianza
maldito,negativo,enfado
acusación,negativo,enfado
acusativo,negativo,neutro
acusado,negativo,enfado
acusador,negativo,enfado
acusando,negativo,enfado
acostumbrado,neutro,neutro
as,positivo,neutro
acético,neutro,neutro
dolor,negativo,tristeza
lograr,positivo,alegria
logro,positivo,anticipacion
dolor,negativo,tristeza
ácido,negativo,neutro
acidez,neutro,neutro
reconocer,neutro,neutro
admitido,neutro,neutro
Reconocimiento,positivo,neutro
cumbre,neutro,neutro
acústico,neutro,neutro
acústica,neutro,neutro
familiarizar,neutro,neutro
conocido,neutro,neutro
familiarizado,neutro,neutro
aquiescencia,neutro,neutro
adquirir,positivo,neutro
adquisidor,positivo,anticipacion
adquisición,neutro,neutro
adquisiciones,neutro,neutro
superficie en acres,neutro,neutro
hectáreas,neutro,neutro
acróbata,positivo,miedo
Actuar,neutro,neutro
interino,neutro,neutro
acción,positivo,neutro
procesable,negativo,enfado
activo,neutro,neutro
actividad,neutro,neutro
actor,neutro,neutro
actual,positivo,neutro
realidad,neutro,neutro
actuario,neutro,neutro
agudeza,positivo,neutro
perspicacia,positivo,neutro
acupuntura,neutro,neutro
extremadamente,neutro,neutro
adagio,neutro,neutro
firme,neutro,neutro
adaptar,positivo,neutro
adaptable,positivo,neutro
agregar,neutro,neutro
adicional,neutro,neutro
apéndice,neutro,neutro
sumador,negativo,enfado
adiccion,negativo,neutro
suma,neutro,neutro
adicional,neutro,neutro
aditivo,neutro,neutro
Dirección,neutro,neutro
destinatario,neutro,neutro
direcciones,positivo,anticipacion
adepto,positivo,neutro
adecuación,positivo,neutro
adecuado,neutro,neutro
adherirse,neutro,neutro
adherencia,neutro,neutro
adherente,neutro,neutro
adherido,neutro,confianza
adhesión,neutro,neutro
adhesivo,neutro,neutro
adiós,neutro,neutro
adiposo,negativo,neutro
proximidad,neutro,neutro
adyacente,neutro,neutro
adjetivo,neutro,neutro
contiguo,neutro,neutro
aplazar,neutro,neutro
aplazamiento,neutro,neutro
juzgar,negativo,miedo
adjudicación,neutro,neutro
adjunto,positivo,neutro
ajustar,neutro,neutro
ajustamiento,neutro,neutro
auxiliar,neutro,neutro
administrar,neutro,neutro
administración,neutro,neutro
administrativo,neutro,confianza
admirable,positivo,alegria
almirante,positivo,confianza
almirantazgo,neutro,neutro
admiración,positivo,alegria
admirar,positivo,confianza
admirador,positivo,neutro
admisibilidad,neutro,neutro
admisible,positivo,confianza
admisión,neutro,neutro
admitir,neutro,neutro
entrada,neutro,neutro
aceptado,neutro,neutro
admitiendo,neutro,neutro
mezcla,neutro,neutro
amonestación,negativo,miedo
alharaca,neutro,neutro
adobe,neutro,neutro
adolescencia,neutro,neutro
adolescente,neutro,neutro
adoptar,neutro,neutro
adopción,neutro,neutro
adorable,positivo,alegria
adoración,positivo,alegria
adorar,positivo,anticipacion
adornar,neutro,neutro
adorno,neutro,neutro
a la deriva,negativo,anticipacion
adulto,neutro,neutro
espurio,negativo,neutro
adulterio,negativo,disgusto
ventaja,positivo,anticipacion
avanzado,positivo,neutro
avance,positivo,neutro
avanzando,neutro,neutro
ventaja,positivo,neutro
ventajoso,positivo,neutro
adviento,positivo,anticipacion
aventura,positivo,anticipacion
aventurero,neutro,neutro
aventurero,positivo,neutro
adversario,negativo,enfado
adverso,negativo,enfado
adversidad,negativo,enfado
anunciar,neutro,neutro
anuncio publicitario,neutro,neutro
consejo,neutro,confianza
aconsejable,positivo,confianza
consejo,positivo,confianza
aconsejado,neutro,confianza
asesoramiento,neutro,neutro
asesor,positivo,confianza
Abogacía,positivo,enfado
defensor,neutro,confianza
égida,neutro,neutro
aireación,neutro,neutro
aéreo,neutro,neutro
aeródromo,neutro,neutro
aerodinámica,neutro,neutro
aeronáutica,neutro,neutro
avión,neutro,neutro
estético,positivo,neutro
estética,positivo,alegria
etiología,neutro,neutro
lejos,neutro,neutro
afable,positivo,neutro
asunto,neutro,neutro
conmovedor,neutro,neutro
cariño,positivo,alegria
afectos,neutro,neutro
afiche,neutro,neutro
declaración jurada,neutro,neutro
asociado,positivo,neutro
afiliación,neutro,neutro
afinidad,neutro,neutro
afirmar,positivo,confianza
afirmación,positivo,neutro
afirmativo,positivo,neutro
afirmativamente,positivo,confianza
afijo,neutro,neutro
afligir,negativo,miedo
afligido,negativo,neutro
aflicción,negativo,disgusto
afluencia,positivo,alegria
afluente,positivo,neutro
solventar,positivo,neutro
afrenta,negativo,enfado
al campo,neutro,neutro
a proa,neutro,neutro
citado,neutro,neutro
antedicho,neutro,neutro
atemorizado,negativo,miedo
de nuevo,neutro,neutro
en popa,neutro,neutro
secuelas,negativo,enfado
tarde,neutro,neutro
regusto,negativo,neutro
idea tardía,neutro,neutro
aga,positivo,miedo
ágata,neutro,neutro
años,neutro,neutro
Envejecido,neutro,neutro
agencia,neutro,neutro
agente,neutro,neutro
aglomeración,neutro,neutro
agravado,negativo,enfado
agravante,negativo,enfado
agravación,negativo,enfado
agregar,neutro,neutro
agregación,neutro,neutro
agresión,negativo,enfado
agresivo,negativo,enfado
agresor,negativo,enfado
espantado,negativo,disgusto
ágil,positivo,neutro
agilidad,positivo,neutro
agitado,negativo,enfado
agitación,negativo,enfado
agnóstico,neutro,neutro
atrás,neutro,neutro
agonizante,negativo,miedo
agonía,negativo,enfado
aceptar,positivo,neutro
agradable,positivo,confianza
acordado,positivo,confianza
estar de acuerdo,positivo,confianza
convenio,positivo,confianza
agrícola,neutro,neutro
agricultura,positivo,neutro
encallado,negativo,neutro
agua,neutro,neutro
adelante,positivo,neutro
ayuda,positivo,neutro
ayudando,positivo,neutro
afligir,negativo,tristeza
enfermo,negativo,miedo
enfermedad,neutro,neutro
apuntar,neutro,neutro
sin objetivo,negativo,neutro
aire,neutro,neutro
bolsa de aire,neutro,neutro
puente aéreo,neutro,neutro
aerolínea,neutro,neutro
aviador,neutro,neutro
avión,neutro,neutro
aeropuerto,neutro,anticipacion
aires,negativo,disgusto
dirigible,neutro,neutro
pasillo,neutro,neutro
espera,neutro,neutro
un frasco,neutro,neutro
parecido,neutro,confianza
alabastro,positivo,neutro
alarma,negativo,miedo
alarmante,negativo,miedo
alba,neutro,confianza
álbum,neutro,neutro
alquimia,neutro,neutro
alcohol,neutro,neutro
alcoholismo,negativo,enfado
hueco,neutro,neutro
alerta,neutro,neutro
vigilancia,positivo,anticipacion
alertas,neutro,anticipacion
alfalfa,neutro,neutro
álgebra,neutro,neutro
algebraico,neutro,neutro
algoritmo,neutro,neutro
coartada,neutro,neutro
extraterrestre,negativo,disgusto
enajenar,negativo,enfado
alienado,negativo,tristeza
alienación,negativo,enfado
posarse,neutro,neutro
alineado,neutro,neutro
alineación,neutro,neutro
similar,neutro,neutro
alimentación,positivo,neutro
pensión alimenticia,negativo,neutro
alícuota,neutro,neutro
viva,positivo,anticipacion
álcali,neutro,neutro
alcaloides,neutro,neutro
aliviar,positivo,neutro
alegación,negativo,enfado
alegar,negativo,neutro
presunto,neutro,neutro
lealtad,positivo,confianza
alegórico,neutro,neutro
alegoría,neutro,neutro
alegro,positivo,neutro
aliviar,positivo,neutro
alivio,positivo,neutro
callejón,neutro,neutro
Alianza,neutro,confianza
aliado,positivo,confianza
caimán,neutro,neutro
asignar,neutro,neutro
asignación,neutro,neutro
asignar,neutro,neutro
asignación,neutro,neutro
admisible,positivo,neutro
tolerancia,neutro,neutro
permitió,neutro,neutro
aleación,neutro,neutro
seducir,positivo,anticipacion
seductor,positivo,neutro
alusión,neutro,neutro
aluvial,neutro,neutro
aliado,positivo,confianza
almanaque,neutro,neutro
todopoderoso,positivo,neutro
en alto,neutro,neutro
aloha,positivo,anticipacion
junto a,neutro,neutro
a distancia,negativo,neutro
en voz alta,neutro,neutro
alfabeto,neutro,neutro
alfabético,neutro,neutro
altar,neutro,neutro
alterar,neutro,neutro
modificación,neutro,neutro
altercado,negativo,enfado
alterado,neutro,neutro
alterno,neutro,neutro
alternativa,neutro,neutro
altitud,neutro,neutro
Alto,neutro,neutro
en total,neutro,neutro
antiguo alumno,neutro,neutro
alveolar,neutro,neutro
amalgama,neutro,neutro
amalgamación,neutro,neutro
acumular,neutro,neutro
aficionado,neutro,neutro
asombro,neutro,sorpresa
asombro,neutro,neutro
Asombrosamente,positivo,alegria
embajador,positivo,confianza
ámbar,neutro,neutro
ambiente,neutro,neutro
ambigüedad,neutro,neutro
ambiguo,negativo,neutro
ámbito,neutro,neutro
ambición,positivo,anticipacion
ambicioso,neutro,neutro
ambulancia,neutro,miedo
emboscada,negativo,enfado
mejorar,positivo,neutro
amén,positivo,alegria
dócil,positivo,neutro
enmendar,positivo,neutro
enmienda,neutro,neutro
compensación,positivo,neutro
amenidad,positivo,neutro
amatista,neutro,neutro
amable,positivo,neutro
amistoso,positivo,alegria
entre,neutro,neutro
en medio de,neutro,neutro
amoníaco,neutro,disgusto
munición,neutro,neutro
amnesia,negativo,neutro
amnistía,positivo,alegria
amorfo,neutro,neutro
amortización,neutro,confianza
Monto,neutro,neutro
aventura amorosa,positivo,anticipacion
ampersand,neutro,neutro
anfetaminas,negativo,disgusto
anfibio,neutro,neutro
anfibio,neutro,neutro
anfiteatro,neutro,neutro
amplificación,neutro,neutro
amplificar,neutro,neutro
amplitud,neutro,neutro
ampliamente,neutro,neutro
amputación,neutro,neutro
amuleto,neutro,neutro
entretener,positivo,alegria
divertido,positivo,alegria
diversión,positivo,alegria
entretenido,positivo,alegria
Ana,neutro,neutro
anaconda,negativo,disgusto
anestesia,neutro,neutro
anestésico,neutro,neutro
anal,negativo,neutro
analgésico,neutro,neutro
análogo,neutro,neutro
término análogo,neutro,neutro
analogía,neutro,neutro
análisis,neutro,neutro
analista,positivo,anticipacion
analítico,neutro,neutro
analizar,neutro,neutro
analizador,neutro,neutro
anarquismo,negativo,enfado
anarquista,negativo,enfado
anarquía,negativo,enfado
anastomosis,neutro,neutro
anatema,negativo,enfado
anatómico,neutro,neutro
anatomía,neutro,neutro
antepasado,neutro,neutro
ancestral,neutro,confianza
ascendencia,neutro,neutro
ancla,positivo,neutro
anclaje,positivo,tristeza
antiguo,negativo,neutro
auxiliar,neutro,neutro
andrógino,neutro,neutro
anémona,neutro,neutro
de nuevo,neutro,neutro
ángel,positivo,anticipacion
angelical,positivo,alegria
enfado,negativo,enfado
angina de pecho,negativo,miedo
angiografía,neutro,neutro
ángulo,neutro,neutro
pesca con caña,negativo,anticipacion
enfadado,negativo,enfado
angustia,negativo,enfado
angular,neutro,neutro
anhidro,neutro,neutro
animal,neutro,neutro
animar,positivo,neutro
animado,positivo,alegria
animación,neutro,neutro
animosidad,negativo,enfado
ánimo,negativo,enfado
tobillo,neutro,neutro
anales,neutro,neutro
anexo,neutro,neutro
anexión,neutro,neutro
anexo,neutro,neutro
aniquilar,negativo,enfado
aniquilado,negativo,enfado
aniquilación,negativo,enfado
anotar,neutro,neutro
anotación,neutro,neutro
anunciar,neutro,neutro
anuncio,neutro,anticipacion
enojarse,negativo,enfado
molestia,negativo,enfado
irritante,negativo,enfado
anualidad,neutro,neutro
anular,negativo,neutro
anular,neutro,neutro
anulación,negativo,tristeza
anillo,neutro,neutro
unción,neutro,neutro
anómalo,neutro,neutro
anomalía,negativo,miedo
luego,neutro,neutro
anónimo,negativo,neutro
responder,neutro,neutro
responsable,neutro,confianza
respondiendo,neutro,neutro
hormiga,neutro,neutro
antagonismo,negativo,enfado
antagonista,negativo,enfado
antagonista,negativo,enfado
apuesta inicial,neutro,neutro
antecedente,neutro,neutro
antílope,neutro,neutro
antena,neutro,neutro
anterior,neutro,neutro
himno,neutro,neutro
antología,neutro,neutro
ántrax,negativo,disgusto
antropología,neutro,neutro
antibiótico,neutro,neutro
antibióticos,positivo,neutro
antecristo,negativo,enfado
anticipación,neutro,anticipacion
anticipado,neutro,anticipacion
antídoto,positivo,anticipacion
antifúngico,positivo,confianza
antimonio,neutro,neutro
antipatía,negativo,enfado
anticuario,neutro,neutro
anticuado,negativo,neutro
antiguo,positivo,neutro
antigüedad,neutro,neutro
antiséptico,positivo,confianza
antisocial,negativo,enfado
antítesis,negativo,enfado
antitético,neutro,neutro
antivírico,neutro,neutro
cuerno,neutro,neutro
yunque,neutro,neutro
